Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,205581,-,-,-,34.61,-118.18,0,869,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,Clearsky GHI,GHI,Global Horizontal UV Irradiance (295-385nm),Wind Speed
2016,1,1,0,30,4.3,0,43,43,0.0000,2
2016,1,1,1,30,2.5,0,0,0,0.0000,1.9000000000000001
2016,1,1,2,30,1.7000000000000002,0,0,0,0.0000,2
2016,1,1,3,30,1.1,1,0,0,0.0000,2.1
2016,1,1,4,30,0.6000000000000001,1,0,0,0.0000,2.2
2016,1,1,5,30,0.4,1,0,0,0.0000,2.4000000000000004
2016,1,1,6,30,0.30000000000000004,1,0,0,0.0000,2.6
2016,1,1,7,30,0.1,1,0,0,0.0000,2.7
2016,1,1,8,30,0,4,0,0,0.0000,2.8000000000000003
2016,1,1,9,30,0.1,1,0,0,0.0000,3.1
2016,1,1,10,30,0.2,1,0,0,0.0000,3.4000000000000004
2016,1,1,11,30,0.2,4,0,0,0.0000,3.6
2016,1,1,12,30,0,1,0,0,0.0000,3.9000000000000004
2016,1,1,13,30,-0.1,4,0,0,0.0000,4
2016,1,1,14,30,0.30000000000000004,4,0,0,0.0000,4.2
2016,1,1,15,30,1.8,4,65,34,0.0000,4.7
2016,1,1,16,30,4.4,0,246,246,9.1968,5.2
2016,1,1,17,30,6.9,0,407,407,16.5767,5.1000000000000005
2016,1,1,18,30,8.8,0,527,527,22.5265,4.3
2016,1,1,19,30,10.200000000000001,0,583,583,25.4244,3.5
2016,1,1,20,30,11.100000000000001,0,579,579,25.2191,2.9000000000000004
2016,1,1,21,30,11.3,0,511,511,21.7509,2.5
2016,1,1,22,30,10.700000000000001,0,382,382,15.4244,2.3000000000000003
2016,1,1,23,30,8.1,0,215,215,7.9479,1.8
2016,1,2,0,30,5,4,43,22,0.0000,1.7000000000000002
2016,1,2,1,30,3.5,8,0,0,0.0000,2.1
2016,1,2,2,30,2.9000000000000004,8,0,0,0.0000,2.4000000000000004
2016,1,2,3,30,2.7,8,0,0,0.0000,2.6
2016,1,2,4,30,2.7,8,0,0,0.0000,2.8000000000000003
2016,1,2,5,30,2.5,8,0,0,0.0000,2.7
2016,1,2,6,30,2.2,8,0,0,0.0000,2.6
2016,1,2,7,30,2.1,8,0,0,0.0000,2.5
2016,1,2,8,30,2.1,4,0,0,0.0000,2.4000000000000004
2016,1,2,9,30,2.1,8,0,0,0.0000,2.3000000000000003
2016,1,2,10,30,2.3000000000000003,8,0,0,0.0000,2.3000000000000003
2016,1,2,11,30,2.6,8,0,0,0.0000,2.4000000000000004
2016,1,2,12,30,2.9000000000000004,4,0,0,0.0000,2.6
2016,1,2,13,30,3,4,0,0,0.0000,2.6
2016,1,2,14,30,3.3000000000000003,8,0,0,0.0000,2.7
2016,1,2,15,30,4.7,4,59,31,0.0000,3.3000000000000003
2016,1,2,16,30,7.300000000000001,8,236,188,7.0277,3.7
2016,1,2,17,30,10.4,3,400,293,11.9347,3.5
2016,1,2,18,30,13.200000000000001,7,519,443,18.9423,3.2
