Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,205581,-,-,-,34.61,-118.18,0,869,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,Clearsky GHI,GHI,Global Horizontal UV Irradiance (295-385nm),Wind Speed
2024,1,1,0,30,9.700000000000001,7,39,19,0.0000,0.5
2024,1,1,1,30,9,8,0,0,0.0000,0.5
2024,1,1,2,30,8.700000000000001,0,0,0,0.0000,0.6000000000000001
2024,1,1,3,30,8.200000000000001,8,0,0,0.0000,0.8
2024,1,1,4,30,7.5,8,0,0,0.0000,0.9
2024,1,1,5,30,6.9,5,0,0,0.0000,1
2024,1,1,6,30,6.300000000000001,0,0,0,0.0000,1.1
2024,1,1,7,30,5.7,0,0,0,0.0000,1.1
2024,1,1,8,30,5.300000000000001,0,0,0,0.0000,1.1
2024,1,1,9,30,4.9,0,0,0,0.0000,1.2000000000000002
2024,1,1,10,30,4.6000000000000005,0,0,0,0.0000,1.2000000000000002
2024,1,1,11,30,4.5,4,0,0,0.0000,1.3
2024,1,1,12,30,4.6000000000000005,0,0,0,0.0000,1.6
2024,1,1,13,30,4.800000000000001,0,0,0,0.0000,1.9000000000000001
2024,1,1,14,30,5.1000000000000005,0,0,0,0.0000,2.4000000000000004
2024,1,1,15,30,6.800000000000001,0,58,54,0.0000,3
2024,1,1,16,30,9.700000000000001,0,225,225,8.4100,3.3000000000000003
2024,1,1,17,30,12.8,0,386,386,15.7200,3.2
2024,1,1,18,30,14.8,0,504,504,21.5419,2.9000000000000004
2024,1,1,19,30,15.8,0,563,563,24.5508,2.7
2024,1,1,20,30,16.3,0,558,558,24.3030,2.5
2024,1,1,21,30,16.3,0,491,491,20.8981,2.6
2024,1,1,22,30,15.600000000000001,0,369,369,14.8980,2.4000000000000004
2024,1,1,23,30,13.200000000000001,0,208,208,7.6891,1.6
2024,1,2,0,30,10.4,0,41,41,0.0000,1
2024,1,2,1,30,8.9,0,0,0,0.0000,1.1
2024,1,2,2,30,8.1,0,0,0,0.0000,1.1
2024,1,2,3,30,7.5,0,0,0,0.0000,1.2000000000000002
2024,1,2,4,30,7,0,0,0,0.0000,1.2000000000000002
2024,1,2,5,30,6.7,0,0,0,0.0000,1.2000000000000002
2024,1,2,6,30,6.300000000000001,0,0,0,0.0000,1.2000000000000002
2024,1,2,7,30,5.9,0,0,0,0.0000,1.1
2024,1,2,8,30,5.4,0,0,0,0.0000,1.1
2024,1,2,9,30,5.1000000000000005,0,0,0,0.0000,1.1
2024,1,2,10,30,4.9,0,0,0,0.0000,1.1
2024,1,2,11,30,4.9,0,0,0,0.0000,1.1
2024,1,2,12,30,5,0,0,0,0.0000,1
2024,1,2,13,30,5.2,0,0,0,0.0000,0.9
2024,1,2,14,30,5.9,0,0,0,0.0000,0.6000000000000001
2024,1,2,15,30,7.9,0,60,60,0.0000,0.6000000000000001
2024,1,2,16,30,10.8,0,230,230,8.5960,0.7000000000000001
2024,1,2,17,30,13.600000000000001,0,390,357,14.5403,1.2000000000000002
2024,1,2,18,30,15.9,0,506,480,20.5230,1.8
2024,1,2,19,30,17,0,563,563,24.5621,2.2
2024,1,2,20,30,17,0,556,520,22.6612,2.6
2024,1,2,21,30,16.400000000000002,8,488,359,15.2927,2.8000000000000003
2024,1,2,22,30,15.4,7,367,274,11.0772,2.5
2024,1,2,23,30,13.100000000000001,0,207,170,6.2924,1.7000000000000002
2024,1,3,0,30,10.100000000000001,0,44,44,0.0000,1.3
2024,1,3,1,30,8.200000000000001,0,0,0,0.0000,1.4000000000000001
2024,1,3,2,30,7.300000000000001,0,0,0,0.0000,1.3
2024,1,3,3,30,6.9,0,0,0,0.0000,1.2000000000000002
2024,1,3,4,30,7.1000000000000005,0,0,0,0.0000,1.3
2024,1,3,5,30,7.7,0,0,0,0.0000,1.7000000000000002
2024,1,3,6,30,8.1,0,0,0,0.0000,2.1
2024,1,3,7,30,8.4,7,0,0,0.0000,2.5
2024,1,3,8,30,8.5,7,0,0,0.0000,2.8000000000000003
2024,1,3,9,30,8.5,7,0,0,0.0000,3
2024,1,3,10,30,8.6,7,0,0,0.0000,3
2024,1,3,11,30,8.700000000000001,7,0,0,0.0000,2.8000000000000003
2024,1,3,12,30,8.3,7,0,0,0.0000,2.3000000000000003
2024,1,3,13,30,7.1000000000000005,8,0,0,0.0000,1.7000000000000002
2024,1,3,14,30,6,5,0,0,0.0000,1.2000000000000002
2024,1,3,15,30,6.6000000000000005,0,61,61,0.0000,1.7000000000000002
2024,1,3,16,30,8.1,0,235,235,8.7829,2.5
2024,1,3,17,30,9.700000000000001,0,395,395,16.0909,3
2024,1,3,18,30,11.200000000000001,0,509,509,21.7703,3.5
2024,1,3,19,30,12,0,567,567,24.7480,4.1000000000000005
2024,1,3,20,30,12.100000000000001,0,564,564,24.5944,4.3
2024,1,3,21,30,12,0,499,499,21.2756,4.3
2024,1,3,22,30,11.4,0,377,377,15.2599,4.2
2024,1,3,23,30,9.8,0,214,199,7.3755,3.4000000000000004
2024,1,4,0,30,7.6000000000000005,0,47,47,0.0000,2.4000000000000004
2024,1,4,1,30,6.1000000000000005,0,0,0,0.0000,2.4000000000000004
2024,1,4,2,30,5.4,0,0,0,0.0000,2.8000000000000003
2024,1,4,3,30,5,0,0,0,0.0000,3.2
2024,1,4,4,30,4.9,0,0,0,0.0000,3.8000000000000003
2024,1,4,5,30,4.9,0,0,0,0.0000,4.3
2024,1,4,6,30,4.800000000000001,0,0,0,0.0000,4.3
2024,1,4,7,30,4.5,0,0,0,0.0000,4.1000000000000005
2024,1,4,8,30,4.2,0,0,0,0.0000,3.8000000000000003
2024,1,4,9,30,3.9000000000000004,0,0,0,0.0000,3.5
2024,1,4,10,30,3.6,0,0,0,0.0000,3.2
2024,1,4,11,30,3.4000000000000004,0,0,0,0.0000,3.2
2024,1,4,12,30,3.3000000000000003,0,0,0,0.0000,3.4000000000000004
2024,1,4,13,30,3.3000000000000003,0,0,0,0.0000,3.4000000000000004
2024,1,4,14,30,3.5,0,0,0,0.0000,3.5
2024,1,4,15,30,4.6000000000000005,0,61,61,0.0000,3.9000000000000004
2024,1,4,16,30,6.7,0,235,235,8.7837,4.2
2024,1,4,17,30,9.3,0,400,382,15.5656,4.1000000000000005
2024,1,4,18,30,11.8,8,519,451,19.2974,3.9000000000000004
2024,1,4,19,30,13.4,0,581,543,23.7128,3.7
2024,1,4,20,30,14.100000000000001,0,578,578,25.2209,3.5
2024,1,4,21,30,14.200000000000001,0,511,511,21.8068,3.2
2024,1,4,22,30,13.5,0,388,388,15.7272,2.7
2024,1,4,23,30,11,0,221,221,8.2017,1.7000000000000002
2024,1,5,0,30,7.7,0,50,50,0.0000,1.2000000000000002
2024,1,5,1,30,5.800000000000001,0,0,0,0.0000,1.4000000000000001
2024,1,5,2,30,5,0,0,0,0.0000,1.7000000000000002
2024,1,5,3,30,4.4,0,0,0,0.0000,1.9000000000000001
2024,1,5,4,30,4.1000000000000005,0,0,0,0.0000,2.3000000000000003
2024,1,5,5,30,3.7,0,0,0,0.0000,2.3000000000000003
2024,1,5,6,30,3.2,0,0,0,0.0000,2
2024,1,5,7,30,3.1,0,0,0,0.0000,2.1
2024,1,5,8,30,3.2,0,0,0,0.0000,2.2
2024,1,5,9,30,3.4000000000000004,0,0,0,0.0000,2.2
2024,1,5,10,30,3.5,8,0,0,0.0000,2
2024,1,5,11,30,3.5,8,0,0,0.0000,1.6
2024,1,5,12,30,3.7,8,0,0,0.0000,1.5
2024,1,5,13,30,3.9000000000000004,8,0,0,0.0000,1.5
2024,1,5,14,30,4.3,7,0,0,0.0000,1.5
2024,1,5,15,30,5.9,8,59,19,0.0000,2
2024,1,5,16,30,8.6,8,228,131,4.8970,2.4000000000000004
2024,1,5,17,30,11.700000000000001,8,390,211,8.6009,2.5
2024,1,5,18,30,14.200000000000001,0,511,469,20.0757,2.6
2024,1,5,19,30,15.700000000000001,0,573,573,25.0357,2.7
2024,1,5,20,30,16.5,0,573,573,25.0214,2.9000000000000004
2024,1,5,21,30,16.6,0,510,510,21.7850,3.2
2024,1,5,22,30,15.9,0,391,391,15.8710,2.8000000000000003
2024,1,5,23,30,13.3,0,227,227,8.4366,1.7000000000000002
2024,1,6,0,30,10.100000000000001,0,53,53,0.0000,1.2000000000000002
2024,1,6,1,30,7.9,0,0,0,0.0000,1.3
2024,1,6,2,30,6.5,0,0,0,0.0000,1.4000000000000001
2024,1,6,3,30,5.5,0,0,0,0.0000,1.6
2024,1,6,4,30,4.9,0,0,0,0.0000,1.8
2024,1,6,5,30,4.4,0,0,0,0.0000,1.9000000000000001
2024,1,6,6,30,4,0,0,0,0.0000,1.9000000000000001
2024,1,6,7,30,3.4000000000000004,0,0,0,0.0000,1.9000000000000001
2024,1,6,8,30,3,0,0,0,0.0000,1.8
2024,1,6,9,30,2.6,0,0,0,0.0000,1.6
2024,1,6,10,30,2.6,0,0,0,0.0000,1.6
2024,1,6,11,30,2.6,0,0,0,0.0000,1.5
2024,1,6,12,30,2.6,0,0,0,0.0000,1.5
2024,1,6,13,30,3.1,0,0,0,0.0000,1.5
2024,1,6,14,30,4.1000000000000005,0,0,0,0.0000,1.3
2024,1,6,15,30,6.4,0,64,64,0.0000,1.1
2024,1,6,16,30,9.600000000000001,0,244,244,9.1229,1.3
2024,1,6,17,30,12.700000000000001,0,411,411,16.7595,2.4000000000000004
2024,1,6,18,30,14.8,0,528,528,22.6119,3.7
2024,1,6,19,30,15.5,0,591,577,25.2263,4.5
2024,1,6,20,30,15.5,8,584,488,21.3255,4.9
2024,1,6,21,30,14.700000000000001,8,516,396,16.9326,4.800000000000001
2024,1,6,22,30,13.5,8,389,277,11.2592,4.3
2024,1,6,23,30,11.3,8,221,180,6.7003,3.1
2024,1,7,0,30,9.3,8,50,10,0.0000,2.2
2024,1,7,1,30,8.3,6,0,0,0.0000,2.3000000000000003
2024,1,7,2,30,7.7,7,0,0,0.0000,2.7
2024,1,7,3,30,7.6000000000000005,7,0,0,0.0000,3.4000000000000004
2024,1,7,4,30,7.9,0,0,0,0.0000,4
2024,1,7,5,30,7.800000000000001,0,0,0,0.0000,4.3
2024,1,7,6,30,7.4,0,0,0,0.0000,4.3
2024,1,7,7,30,7.1000000000000005,0,0,0,0.0000,4.2
2024,1,7,8,30,6.6000000000000005,4,0,0,0.0000,4.4
2024,1,7,9,30,5.2,0,0,0,0.0000,4.4
2024,1,7,10,30,3.7,8,0,0,0.0000,4
2024,1,7,11,30,2.8000000000000003,4,0,0,0.0000,3.9000000000000004
2024,1,7,12,30,2.3000000000000003,4,0,0,0.0000,4.1000000000000005
2024,1,7,13,30,1.8,0,0,0,0.0000,4.1000000000000005
2024,1,7,14,30,1.6,0,0,0,0.0000,4.1000000000000005
2024,1,7,15,30,2.3000000000000003,0,65,65,0.0000,4.7
2024,1,7,16,30,4.1000000000000005,0,248,243,9.0874,5.300000000000001
2024,1,7,17,30,6.2,5,417,171,6.9761,5.5
2024,1,7,18,30,8,5,540,240,10.2836,5.5
2024,1,7,19,30,9.1,3,605,447,19.5549,5.5
2024,1,7,20,30,9.4,0,598,504,22.0410,5.6000000000000005
2024,1,7,21,30,9.1,0,531,531,22.7281,5.5
2024,1,7,22,30,8.1,0,407,407,16.5677,5.300000000000001
2024,1,7,23,30,6.1000000000000005,0,238,238,8.8734,4.6000000000000005
2024,1,8,0,30,3.6,0,59,59,0.0000,3.7
2024,1,8,1,30,1.9000000000000001,0,0,0,0.0000,3.3000000000000003
2024,1,8,2,30,1.1,0,0,0,0.0000,3.4000000000000004
2024,1,8,3,30,0.8,0,0,0,0.0000,3.3000000000000003
2024,1,8,4,30,0.4,0,0,0,0.0000,3.2
2024,1,8,5,30,0.2,0,0,0,0.0000,3.3000000000000003
2024,1,8,6,30,-0.1,0,0,0,0.0000,3.4000000000000004
2024,1,8,7,30,-0.4,0,0,0,0.0000,3.3000000000000003
2024,1,8,8,30,-0.8,0,0,0,0.0000,3
2024,1,8,9,30,-1.1,0,0,0,0.0000,2.7
2024,1,8,10,30,-1.2000000000000002,0,0,0,0.0000,2.4000000000000004
2024,1,8,11,30,-1.2000000000000002,0,0,0,0.0000,2.1
2024,1,8,12,30,-1.2000000000000002,0,0,0,0.0000,1.9000000000000001
2024,1,8,13,30,-1.2000000000000002,0,0,0,0.0000,1.8
2024,1,8,14,30,-0.2,0,0,0,0.0000,1.7000000000000002
2024,1,8,15,30,2.8000000000000003,0,64,64,0.0000,2.5
2024,1,8,16,30,6.300000000000001,0,240,240,8.9780,3.6
2024,1,8,17,30,8.4,0,405,405,16.5312,4
2024,1,8,18,30,9.8,0,524,524,22.4660,3.7
2024,1,8,19,30,10.700000000000001,0,588,588,25.7406,3.4000000000000004
2024,1,8,20,30,11.200000000000001,0,586,586,25.6487,3
2024,1,8,21,30,11.3,0,520,520,22.2812,2.8000000000000003
2024,1,8,22,30,10.8,0,398,398,16.2264,2.5
2024,1,8,23,30,8.6,0,232,232,8.6646,1.6
2024,1,9,0,30,6,0,58,58,0.0000,1
2024,1,9,1,30,5,0,0,0,0.0000,1.1
2024,1,9,2,30,4.6000000000000005,0,0,0,0.0000,1.2000000000000002
2024,1,9,3,30,4.2,0,0,0,0.0000,1.2000000000000002
2024,1,9,4,30,3.9000000000000004,0,0,0,0.0000,1.2000000000000002
2024,1,9,5,30,3.7,0,0,0,0.0000,1.2000000000000002
2024,1,9,6,30,3.6,0,0,0,0.0000,1.2000000000000002
2024,1,9,7,30,3.6,0,0,0,0.0000,1.1
2024,1,9,8,30,3.5,0,0,0,0.0000,1
2024,1,9,9,30,3.3000000000000003,0,0,0,0.0000,1
2024,1,9,10,30,3,0,0,0,0.0000,1
2024,1,9,11,30,2.7,0,0,0,0.0000,1
2024,1,9,12,30,2.4000000000000004,0,0,0,0.0000,0.9
2024,1,9,13,30,2.3000000000000003,0,0,0,0.0000,0.8
2024,1,9,14,30,2.6,0,0,0,0.0000,0.7000000000000001
2024,1,9,15,30,4.7,0,62,62,0.0000,0.6000000000000001
2024,1,9,16,30,7.800000000000001,0,237,234,8.7571,0.5
2024,1,9,17,30,10.8,0,401,401,16.3768,1.3
2024,1,9,18,30,13.200000000000001,0,520,520,22.3093,2.6
2024,1,9,19,30,14.5,0,581,581,25.4512,3.4000000000000004
